Product_ID_;Attribute__Name_Type_Position__;Value__Value_Position_lue:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
14;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Noir;FDG0166BLKOS;FDG0166BLKOS;;876802202306;5.56;;;15;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5079/porte-jarretelle-et-bas-intégrés.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5080/porte-jarretelle-et-bas-intégrés.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5083/porte-jarretelle-et-bas-intégrés.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5084/porte-jarretelle-et-bas-intégrés.jpg, , , , ;;;;;
16;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Noir;DG0092BLKOS;DG0092BLKOS;;876802128910;10.67;;;102;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5091/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5089/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5092/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5090/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5097/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5095/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5096/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5098/shorty-avec-porte-jarretelle-et-bas.jpg;;;;;
16;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Rose;DG0092HPKOS;DG0092HPKOS;0;876802204188;10.67;;;8;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5091/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5089/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5092/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5090/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5097/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5095/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5096/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5098/shorty-avec-porte-jarretelle-et-bas.jpg;;;;;
17;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Noir;DG0093BLKOS;DG0093BLKOS;;876802128866;8.82;;;0;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5103/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5104/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5101/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5102/shorty-avec-porte-jarretelle-et-bas.jpg, , , , ;;;;;
20;Taille:select:0,Color:color:1;Taille: L - 42/44, Couleur: Blanc;DG1300WHTL;DG1300WHTL;0;;4.41;;;1;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;;;
20;Taille:select:0,Color:color:1;Taille: M - 38/40, Couleur: Rose Flashy;DG1300HPKM;DG1300HPKM;0;;4.41;;;9;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;;;
20;Taille:select:0,Color:color:1;Taille: L - 42/44, Couleur: Rouge;DG1300REDL;DG1300REDL;;;4.41;;;18;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;;;
20;Taille:select:0,Color:color:1;Taille: M - 38/40, Couleur: Noir;DG1300BLKM;DG1300BLKM;;;4.41;;;9;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;;;
20;Taille:select:0,Color:color:1;Taille: S - 34/36, Couleur: Rose Flashy;DG1300HPKS;DG1300HPKS;;;4.41;;;6;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;;;
20;Taille:select:0,Color:color:1;Taille: S - 34/36, Couleur: Blanc ;DG1300WHTS;DG1300WHTS;;;4.41;;;6;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;;;
20;Taille:select:0,Color:color:1;Taille: M - 38/40, Couleur: Blanc;DG1300WHTM;DG1300WHTM;;;4.41;;;9;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;;;
20;Taille:select:0,Color:color:1;Taille:  L - 42/44, Couleur: Hot Pink;DG1300HPKL;DG1300HPKL;;;4.41;;;1;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;;;
20;Taille:select:0,Color:color:1;Taille: S - 34/36, Couleur: Rouge;DG1300REDS;DG1300REDS;;;4.41;;;27;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;;;
20;Taille:select:0,Color:color:1;Taille: S - 34/36, Couleur: Noir;DG1300BLKS;DG1300BLKS;;;4.41;;;12;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;;;
20;Taille:select:0,Color:color:1;Taille: M - 38/40, Couleur: Rouge;DG1300REDM;DG1300REDM;;;4.41;;;24;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;;;
